,,Carpet Area Prices(Rs.Per Sq.Ft.),,,
City,Quarter,Composite Price,<=60 sq.mt.(646 sq.ft),>60 sq.mt.(646 sq.ft) and <=110 sq.mt.(1184 sq.ft),>110 sq.mt.(1184 sq.ft)
Mumbai,Jun-2013,"16,353","15,531","16,398","20,552"
Mumbai,Sep-2013,"16,857","16,085","17,104","20,107"
Mumbai,Dec-2013,"17,084","16,377","17,255","20,251"
Mumbai,Mar-2014,"17,496","16,856","17,680","20,263"
Mumbai,Jun-2014,"17,739","17,114","17,915","20,455"
Mumbai,Sep-2014,"17,997","17,403","18,014","21,089"
Mumbai,Dec-2014,"18,325","17,688","18,372","21,540"
Mumbai,Mar-2015,"18,590","17,823","18,640","22,484"
Mumbai,Jun-2015,"18,769","17,994","18,909","22,396"
Mumbai,Sep-2015,"19,296","18,340","19,605","23,316"
Mumbai,Dec-2015,"19,767","18,678","20,277","23,807"
Mumbai,Mar-2016,"20,424","19,343","21,021","24,129"
Mumbai,Jun-2016,"21,028","19,870","21,619","25,162"
Mumbai,Sep-2016,"21,357","20,035","22,082","25,909"
Mumbai,Dec-2016,"21,511","20,207","22,093","26,457"
Mumbai,Mar-2017,"21,707","20,147","22,398","27,633"
Mumbai,Jun-2017,"21,909","20,047","22,769","28,867"
Mumbai,Sep-2017,"21,841","19,992","22,742","28,590"
Mumbai,Dec-2017,"22,367","20,463","23,495","28,642"
Mumbai,Mar-2018,"22,611","20,744","23,722","28,747"
Mumbai,JUN-2018,"22,926","21,113","24,134","28,453"
Mumbai,SEP-2018,"23,466","21,660","24,673","28,961"
Mumbai,DEC 2018,"23,618","21,801","24,750","29,417"
Mumbai,Mar 2019,"23,609","21,686","24,844","29,625"
Mumbai,Jun 2019,"23,667","21,708","24,819","30,153"
Mumbai,Sep 2019,"23,995","21,976","25,176","30,701"
Mumbai,Dec 2019,"24,347","21,954","25,935","31,662"
Mumbai,Mar 2020,"24,767","22,344","26,386","32,132"
Mumbai,Jun 2020,"25,130","22,624","26,954","32,243"
Mumbai,Sep 2020,"24,239","21,931","26,056","30,328"
Mumbai,Dec 2020,"23,958","22,153","25,075","29,752"
Mumbai,Mar 2021,"23,629","22,018","24,412","29,512"
