,city,quarter,composite,onebhk,twobhk,threebhk,%change_onebhk,%change_twobhk,%change_threebhk,latitude,longitude
0,Ahmedabad,2013-06-01,3212,2883,3161,3969,,,,23.0215374,72.5800568
1,Ahmedabad,2013-09-01,3210,2945,3133,3917,2.151,-0.886,-1.31,23.0215374,72.5800568
2,Ahmedabad,2013-12-01,3156,2939,3030,3906,-0.204,-3.288,-0.281,23.0215374,72.5800568
3,Ahmedabad,2014-03-01,3119,2920,2972,3887,-0.646,-1.914,-0.486,23.0215374,72.5800568
4,Ahmedabad,2014-06-01,3138,2997,2947,3918,2.637,-0.841,0.798,23.0215374,72.5800568
5,Ahmedabad,2014-09-01,3100,2953,2898,3923,-1.468,-1.663,0.128,23.0215374,72.5800568
6,Ahmedabad,2014-12-01,3128,2899,2973,3976,-1.829,2.588,1.351,23.0215374,72.5800568
7,Ahmedabad,2015-03-01,3141,2847,3013,4037,-1.794,1.345,1.534,23.0215374,72.5800568
8,Ahmedabad,2015-06-01,3141,2814,3037,4039,-1.159,0.797,0.05,23.0215374,72.5800568
9,Ahmedabad,2015-09-01,3165,2835,3059,4069,0.746,0.724,0.743,23.0215374,72.5800568
10,Ahmedabad,2015-12-01,3172,2911,3026,4060,2.681,-1.079,-0.221,23.0215374,72.5800568
11,Ahmedabad,2016-03-01,3149,2901,2987,4056,-0.344,-1.289,-0.099,23.0215374,72.5800568
12,Ahmedabad,2016-06-01,3175,2975,2973,4095,2.551,-0.469,0.962,23.0215374,72.5800568
13,Ahmedabad,2016-09-01,3198,2983,2997,4148,0.269,0.807,1.294,23.0215374,72.5800568
14,Ahmedabad,2016-12-01,3212,2980,3018,4171,-0.101,0.701,0.554,23.0215374,72.5800568
15,Ahmedabad,2017-03-01,3260,3019,3078,4207,1.309,1.988,0.863,23.0215374,72.5800568
16,Ahmedabad,2017-06-01,3256,2976,3134,4115,-1.424,1.819,-2.187,23.0215374,72.5800568
17,Ahmedabad,2017-09-01,3306,3082,3177,4075,3.562,1.372,-0.972,23.0215374,72.5800568
18,Ahmedabad,2017-12-01,3418,3259,3239,4200,5.743,1.952,3.067,23.0215374,72.5800568
19,Ahmedabad,2018-03-01,3515,3395,3301,4315,4.173,1.914,2.738,23.0215374,72.5800568
20,Ahmedabad,2018-06-01,3698,3628,3426,4564,6.863,3.787,5.771,23.0215374,72.5800568
21,Ahmedabad,2018-09-01,3876,3818,3591,4757,5.237,4.816,4.229,23.0215374,72.5800568
22,Ahmedabad,2018-12-01,4009,3969,3742,4810,3.955,4.205,1.114,23.0215374,72.5800568
23,Ahmedabad,2019-03-01,4115,4071,3854,4905,2.57,2.993,1.975,23.0215374,72.5800568
24,Ahmedabad,2019-06-01,4258,4247,3990,5007,4.323,3.529,2.08,23.0215374,72.5800568
25,Ahmedabad,2019-09-01,4445,4430,4173,5209,4.309,4.586,4.034,23.0215374,72.5800568
26,Ahmedabad,2019-12-01,4663,4580,4404,5518,3.386,5.536,5.932,23.0215374,72.5800568
27,Ahmedabad,2020-03-01,4817,4773,4563,5585,4.214,3.61,1.214,23.0215374,72.5800568
28,Ahmedabad,2020-06-01,4955,4874,4743,5680,2.116,3.945,1.701,23.0215374,72.5800568
29,Ahmedabad,2020-09-01,5008,4902,4847,5643,0.574,2.193,-0.651,23.0215374,72.5800568
30,Ahmedabad,2020-12-01,5157,4974,5051,5789,1.469,4.209,2.587,23.0215374,72.5800568
31,Ahmedabad,2021-03-01,5353,5036,5327,6017,1.246,5.464,3.939,23.0215374,72.5800568
32,Ahmedabad,2021-06-01,5484,5083,5477,6255,0.933,2.816,3.955,23.0215374,72.5800568
33,Ahmedabad,2021-09-01,5669,5223,5714,6386,2.754,4.327,2.094,23.0215374,72.5800568
34,Ahmedabad,2021-12-01,5783,5361,5863,6360,2.642,2.608,-0.407,23.0215374,72.5800568
35,Ahmedabad,2022-03-01,6079,5574,6231,6618,3.973,6.277,4.057,23.0215374,72.5800568
36,Ahmedabad,2022-06-01,6223,5672,6433,6694,1.758,3.242,1.148,23.0215374,72.5800568
37,Ahmedabad,2022-09-01,6442,5811,6679,6986,2.451,3.824,4.362,23.0215374,72.5800568
38,Ahmedabad,2022-12-01,6633,5947,6894,7217,2.34,3.219,3.307,23.0215374,72.5800568
39,Ahmedabad,2023-03-01,6735,6085,6983,7283,2.32,1.291,0.915,23.0215374,72.5800568
40,Ahmedabad,2023-06-01,6788,6208,6980,7357,2.021,-0.043,1.016,23.0215374,72.5800568
41,Ahmedabad,2023-09-01,6836,6333,7032,7251,2.014,0.745,-1.441,23.0215374,72.5800568
42,Ahmedabad,2023-12-01,6942,6385,7167,7383,0.821,1.92,1.82,23.0215374,72.5800568
43,Ahmedabad,2024-03-01,7131,6463,7417,7611,1.222,3.488,3.088,23.0215374,72.5800568
44,Ahmedabad,2024-06-01,7220,6523,7560,7612,0.928,1.928,0.013,23.0215374,72.5800568
45,Ahmedabad,2024-09-01,7380,6579,7713,7982,0.859,2.024,4.861,23.0215374,72.5800568
46,Bengaluru,2013-06-01,4835,4366,4604,5330,,,,12.98815675,77.62260003796
47,Bengaluru,2013-09-01,4894,4676,4647,5372,7.1,0.934,0.788,12.98815675,77.62260003796
48,Bengaluru,2013-12-01,4975,4875,4688,5502,4.256,0.882,2.42,12.98815675,77.62260003796
49,Bengaluru,2014-03-01,5047,5007,4759,5562,2.708,1.515,1.091,12.98815675,77.62260003796
50,Bengaluru,2014-06-01,5088,4778,4804,5647,-4.574,0.946,1.528,12.98815675,77.62260003796
51,Bengaluru,2014-09-01,5199,4803,4912,5780,0.523,2.248,2.355,12.98815675,77.62260003796
52,Bengaluru,2014-12-01,5307,4679,5043,5889,-2.582,2.667,1.886,12.98815675,77.62260003796
53,Bengaluru,2015-03-01,5418,4851,5136,6019,3.676,1.844,2.208,12.98815675,77.62260003796
54,Bengaluru,2015-06-01,5516,5097,5221,6114,5.071,1.655,1.578,12.98815675,77.62260003796
55,Bengaluru,2015-09-01,5623,5143,5302,6278,0.902,1.551,2.682,12.98815675,77.62260003796
56,Bengaluru,2015-12-01,5760,5630,5416,6392,9.469,2.15,1.816,12.98815675,77.62260003796
57,Bengaluru,2016-03-01,5885,5633,5563,6501,0.053,2.714,1.705,12.98815675,77.62260003796
58,Bengaluru,2016-06-01,6082,5813,5781,6663,3.195,3.919,2.492,12.98815675,77.62260003796
59,Bengaluru,2016-09-01,6268,5993,5962,6861,3.097,3.131,2.972,12.98815675,77.62260003796
60,Bengaluru,2016-12-01,6384,5779,6077,7036,-3.571,1.929,2.551,12.98815675,77.62260003796
61,Bengaluru,2017-03-01,6526,5940,6175,7254,2.786,1.613,3.098,12.98815675,77.62260003796
62,Bengaluru,2017-06-01,6403,5812,6074,7092,-2.155,-1.636,-2.233,12.98815675,77.62260003796
63,Bengaluru,2017-09-01,6192,5590,5870,6872,-3.82,-3.359,-3.102,12.98815675,77.62260003796
64,Bengaluru,2017-12-01,6302,5864,5928,7045,4.902,0.988,2.517,12.98815675,77.62260003796
65,Bengaluru,2018-03-01,6359,5995,5971,7113,2.234,0.725,0.965,12.98815675,77.62260003796
66,Bengaluru,2018-06-01,6544,6374,6124,7320,6.322,2.562,2.91,12.98815675,77.62260003796
67,Bengaluru,2018-09-01,6849,6837,6388,7666,7.264,4.311,4.727,12.98815675,77.62260003796
68,Bengaluru,2018-12-01,6963,7094,6494,7769,3.759,1.659,1.344,12.98815675,77.62260003796
69,Bengaluru,2019-03-01,7082,7033,6616,7915,-0.86,1.879,1.879,12.98815675,77.62260003796
70,Bengaluru,2019-06-01,7256,6954,6764,8182,-1.123,2.237,3.373,12.98815675,77.62260003796
71,Bengaluru,2019-09-01,7471,7061,6993,8391,1.539,3.386,2.554,12.98815675,77.62260003796
72,Bengaluru,2019-12-01,7563,7134,7180,8320,1.034,2.674,-0.846,12.98815675,77.62260003796
73,Bengaluru,2020-03-01,7502,7192,7183,8123,0.813,0.042,-2.368,12.98815675,77.62260003796
74,Bengaluru,2020-06-01,7431,7255,7176,7917,0.876,-0.097,-2.536,12.98815675,77.62260003796
